target,split,source_entry,output_path
blueberry,test,블루베리 모음집/20260521_050233604_iOS.heic,C:\Users\dhtmd\OneDrive\바탕 화면\robotarm\yolo\labeling_tools\blueberry_test_images\20260521_050233604_iOS.jpg
blueberry,train,블루베리 모음집/20260521_050234486_iOS.heic,C:\Users\dhtmd\OneDrive\바탕 화면\robotarm\yolo\labeling_tools\blueberry_jpg\20260521_050234486_iOS.jpg
blueberry,train,블루베리 모음집/20260521_050235184_iOS.heic,C:\Users\dhtmd\OneDrive\바탕 화면\robotarm\yolo\labeling_tools\blueberry_jpg\20260521_050235184_iOS.jpg
blueberry,train,블루베리 모음집/20260521_050235902_iOS.heic,C:\Users\dhtmd\OneDrive\바탕 화면\robotarm\yolo\labeling_tools\blueberry_jpg\20260521_050235902_iOS.jpg
blueberry,train,블루베리 모음집/20260521_050239446_iOS.heic,C:\Users\dhtmd\OneDrive\바탕 화면\robotarm\yolo\labeling_tools\blueberry_jpg\20260521_050239446_iOS.jpg
blueberry,train,블루베리 모음집/20260521_050245547_iOS.heic,C:\Users\dhtmd\OneDrive\바탕 화면\robotarm\yolo\labeling_tools\blueberry_jpg\20260521_050245547_iOS.jpg
blueberry,test,블루베리 모음집/20260521_050246181_iOS.heic,C:\Users\dhtmd\OneDrive\바탕 화면\robotarm\yolo\labeling_tools\blueberry_test_images\20260521_050246181_iOS.jpg
blueberry,train,블루베리 모음집/20260521_050246836_iOS.heic,C:\Users\dhtmd\OneDrive\바탕 화면\robotarm\yolo\labeling_tools\blueberry_jpg\20260521_050246836_iOS.jpg
blueberry,train,블루베리 모음집/20260521_050247514_iOS.heic,C:\Users\dhtmd\OneDrive\바탕 화면\robotarm\yolo\labeling_tools\blueberry_jpg\20260521_050247514_iOS.jpg
blueberry,train,블루베리 모음집/20260521_050248116_iOS.heic,C:\Users\dhtmd\OneDrive\바탕 화면\robotarm\yolo\labeling_tools\blueberry_jpg\20260521_050248116_iOS.jpg
blueberry,train,블루베리 모음집/20260521_050248849_iOS.heic,C:\Users\dhtmd\OneDrive\바탕 화면\robotarm\yolo\labeling_tools\blueberry_jpg\20260521_050248849_iOS.jpg
